"Região";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";" Total"
"1 Região Norte";"35,07";"50,83";"61,96";"69,68";"88,22";"88,44";"105,90";"105,86";"107,77";"105,89";"110,96";"109,83";"106,91";"106,64";"101,20";"104,79";"99,29";"97,91";"96,00";"96,47";"90,05";"88,16";"72,28";"75,67";"77,06";"79,59";"65,69";"62,29";"71,23";"87,55"
"2 Região Nordeste";"64,93";"70,36";"73,00";"84,65";"87,37";"93,87";"97,15";"103,72";"99,05";"99,99";"107,09";"107,97";"109,08";"108,35";"101,75";"105,88";"100,00";"100,72";"95,63";"100,44";"96,50";"100,44";"81,55";"81,92";"90,04";"82,73";"73,11";"68,53";"78,50";"91,81"
"3 Região Sudeste";"73,72";"94,11";"93,87";"96,64";"103,90";"106,81";"102,07";"100,79";"98,42";"98,75";"102,04";"103,81";"102,68";"103,32";"99,88";"102,84";"99,75";"103,62";"97,40";"100,18";"97,15";"100,52";"86,31";"87,56";"92,66";"84,54";"78,28";"71,53";"75,14";"96,03"
"4 Região Sul";"87,00";"86,29";"85,23";"94,62";"91,35";"93,60";"101,27";"102,80";"98,42";"100,24";"98,02";"99,27";"101,31";"101,97";"95,35";"99,00";"96,77";"99,49";"94,82";"101,47";"97,18";"95,57";"87,50";"89,82";"89,91";"89,04";"86,50";"79,98";"83,10";"94,05"
"5 Região Centro-Oeste";"41,33";"58,92";"80,57";"85,90";"101,91";"105,78";"110,65";"105,71";"104,21";"104,13";"106,90";"103,94";"107,56";"108,53";"101,96";"105,26";"99,09";"100,02";"99,44";"109,00";"104,05";"97,88";"96,15";"84,44";"88,59";"85,40";"80,47";"74,22";"80,50";"94,54"
"Total";"58,24";"77,83";"80,86";"89,27";"95,30";"99,08";"101,44";"102,83";"100,01";"100,48";"104,30";"105,12";"105,25";"105,43";"100,18";"103,66";"99,35";"101,33";"96,55";"100,71";"96,76";"98,29";"84,43";"84,74";"89,54";"84,19";"76,79";"71,04";"77,20";"93,45"
