"Região";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";" Total"
"1 Região Norte";"8,22";"59,41";"77,07";"79,66";"76,56";"75,00";"85,80";"84,23";"86,50";"88,39";"76,19";"69,44";"78,92";"72,78"
"2 Região Nordeste";"10,97";"74,67";"86,67";"90,27";"89,60";"93,29";"92,16";"90,48";"97,30";"88,53";"79,72";"72,67";"82,35";"80,40"
"3 Região Sudeste";"36,16";"87,50";"90,31";"95,92";"97,67";"99,01";"96,93";"95,15";"97,01";"88,16";"81,29";"73,83";"77,84";"86,11"
"4 Região Sul";"32,61";"95,63";"94,29";"100,66";"97,90";"98,44";"96,71";"93,77";"93,13";"92,77";"90,79";"83,94";"88,41";"89,35"
"5 Região Centro-Oeste";"21,61";"87,40";"91,49";"101,60";"101,42";"92,76";"104,59";"91,11";"94,85";"90,08";"86,57";"79,17";"87,59";"87,23"
"Total";"24,02";"81,65";"88,39";"93,57";"93,45";"94,23";"95,00";"92,15";"95,25";"89,07";"82,04";"74,84";"81,51";"83,56"
