"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2013";"106,52";"95,00";"98,77";"89,07";"98,49";"95,63";"102,24";"106,37";"102,35";"115,15";"113,05";"114,64";"120,77";"110,72";"111,44";"109,17";"108,25";"106,19";"108,16";"103,37";"110,21";"104,61";"105,65";"113,91";"107,76";"117,77";"105,23";"107,46"
"2014";"146,88";"99,20";"114,36";"110,16";"115,73";"113,19";"105,54";"123,86";"93,10";"140,69";"110,26";"120,35";"108,46";"113,15";"94,64";"114,85";"109,22";"109,44";"112,48";"105,02";"113,35";"112,20";"107,74";"143,76";"120,66";"122,14";"104,91";"112,80"
"2015";"109,00";"84,21";"95,42";"108,45";"71,92";"89,02";"94,70";"90,47";"81,22";"110,83";"94,98";"93,67";"97,81";"98,67";"91,99";"90,18";"100,11";"99,04";"105,42";"97,91";"99,44";"103,42";"87,81";"112,53";"98,71";"94,83";"67,58";"96,07"
"2016";"109,79";"75,71";"83,56";"90,77";"69,61";"97,36";"91,89";"80,01";"81,48";"119,76";"96,05";"96,59";"112,65";"102,24";"92,09";"85,70";"98,93";"104,31";"109,26";"92,96";"91,87";"98,97";"90,45";"100,98";"96,68";"85,93";"131,75";"95,41"
"2017";"103,01";"75,14";"79,83";"86,53";"67,51";"71,98";"83,26";"76,86";"77,82";"100,69";"75,55";"90,90";"96,39";"99,22";"83,24";"79,16";"89,27";"83,79";"94,29";"86,72";"88,13";"91,81";"83,34";"91,18";"85,25";"80,99";"78,50";"86,24"
"2018";"101,65";"83,11";"89,81";"99,32";"77,30";"77,10";"91,21";"84,04";"87,79";"111,46";"88,70";"96,73";"104,72";"107,18";"95,47";"82,30";"97,52";"95,47";"99,66";"91,46";"89,78";"92,12";"88,72";"104,53";"89,77";"87,81";"86,32";"92,61"
"2019";"106,42";"87,39";"92,12";"81,21";"82,81";"87,24";"91,07";"87,05";"89,01";"103,02";"93,73";"105,74";"101,00";"106,22";"90,99";"84,65";"96,97";"95,01";"96,58";"91,80";"91,99";"95,82";"91,23";"104,88";"89,91";"88,39";"85,71";"93,12"
"2020";"84,21";"60,15";"77,00";"69,50";"62,39";"52,54";"82,48";"64,27";"78,47";"91,75";"79,02";"80,38";"79,18";"82,56";"76,21";"79,72";"93,11";"87,81";"61,61";"86,83";"86,15";"87,55";"86,08";"81,12";"82,87";"76,57";"82,21";"80,88"
"2021";"82,54";"60,20";"73,11";"67,31";"62,71";"64,18";"80,47";"63,26";"74,99";"74,49";"72,58";"70,92";"72,02";"77,68";"76,52";"66,30";"82,25";"80,79";"59,48";"77,85";"86,54";"87,52";"79,88";"78,12";"80,88";"79,53";"83,21";"74,94"
"2022";"89,16";"70,47";"78,91";"66,95";"67,46";"61,33";"82,89";"73,18";"82,84";"89,01";"79,86";"78,45";"80,34";"89,74";"84,31";"75,87";"87,11";"77,73";"66,74";"78,42";"90,10";"94,94";"88,48";"91,83";"87,06";"82,35";"90,23";"80,70"
"Total";"102,16";"87,21";"86,79";"87,68";"92,57";"88,37";"90,03";"99,05";"97,79";"111,08";"93,78";"103,47";"98,00";"93,68";"103,33";"101,84";"105,09";"104,08";"100,63";"103,26";"102,14";"103,13";"94,71";"106,28";"100,86";"102,64";"96,16";"100,75"
