"Região";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";" Total"
"1 Região Norte";"16,32";"39,16";"47,33";"12,82";"28,07";"73,45";"72,21";"80,33";"82,59";"83,23";"94,93";"98,14";"99,24";"100,34";"96,17";"101,42";"97,11";"95,05";"93,63";"92,52";"86,93";"85,85";"92,13";"72,85";"71,30";"70,27";"64,12";"62,35";"71,57";"75,44"
"2 Região Nordeste";"0,01";"0,00";"0,04";"0,14";"4,27";"61,91";"85,68";"90,86";"91,55";"92,35";"98,49";"100,41";"103,25";"102,20";"98,35";"102,92";"97,37";"97,78";"96,18";"97,13";"94,20";"96,77";"96,04";"81,52";"89,52";"71,36";"70,10";"69,50";"78,86";"72,80"
"3 Região Sudeste";"90,42";"5,36";"5,39";"1,62";"6,60";"95,84";"98,23";"93,75";"92,38";"92,66";"96,17";"98,44";"98,67";"97,59";"94,78";"98,41";"95,02";"98,34";"97,43";"102,95";"98,63";"101,39";"111,33";"88,54";"92,37";"69,07";"83,17";"71,75";"74,77";"81,60"
"4 Região Sul";"38,45";"30,66";"53,60";"24,27";"33,72";"102,78";"97,01";"97,90";"95,74";"96,62";"93,72";"96,07";"98,28";"98,90";"93,63";"97,34";"95,52";"98,30";"96,58";"103,80";"98,39";"99,20";"110,79";"87,79";"89,58";"74,70";"87,82";"80,78";"83,30";"84,56"
"5 Região Centro-Oeste";"0,00";"0,31";"19,48";"6,90";"18,75";"87,38";"88,93";"91,94";"91,70";"92,15";"93,97";"95,29";"101,88";"103,43";"97,28";"101,70";"95,85";"97,04";"99,20";"107,10";"102,87";"96,77";"114,75";"83,87";"87,49";"71,07";"80,22";"74,37";"80,67";"79,40"
"Total";"8,85";"10,50";"16,50";"5,79";"12,63";"83,50";"91,08";"91,88";"91,47";"92,00";"96,26";"98,46";"100,30";"99,89";"96,06";"100,20";"96,08";"97,71";"96,67";"100,56";"96,42";"97,74";"105,19";"84,40";"88,53";"70,77";"77,86";"71,53";"77,24";"78,46"
