"Região";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";" Total"
"1 Região Norte";"57,45";"88,60";"66,23";"101,38";"72,89";"87,49";"109,61";"113,45";"100,72";"2,68";"79,63"
"2 Região Nordeste";"76,57";"81,37";"73,32";"101,22";"89,18";"97,85";"105,92";"104,48";"100,48";"8,21";"83,78"
"3 Região Sudeste";"96,21";"93,85";"91,28";"120,73";"108,81";"108,16";"106,76";"104,14";"93,22";"2,24";"92,27"
"4 Região Sul";"87,35";"87,14";"87,34";"109,91";"98,00";"95,71";"104,01";"104,49";"97,78";"1,35";"88,31"
"5 Região Centro-Oeste";"50,89";"79,58";"73,74";"83,98";"74,78";"81,79";"91,68";"84,62";"81,64";"2,17";"70,84"
"Total";"71,37";"86,86";"80,40";"108,61";"95,26";"99,31";"105,35";"103,85";"96,02";"4,06";"85,98"
